Participant_id,Technique,Gesture_set,height,distance,Checkpoint_time,Object_view_time,mistake_count,personalization_type
1,WRIST_ARM,GS2,2.5,7,15.74681,1.742906,3,W2
1,WRIST_ARM,GS2,0,10.5,7.293386,2.017103,0,W2
1,WRIST_ARM,GS2,0,7,3.929075,0.9327142,0,W2
1,WRIST_ARM,GS2,2.5,10.5,4.65018,1.181525,1,W2
1,WRIST_ARM,GS2,0,7,2.627328,0.7765999,0,W2
1,WRIST_ARM,GS2,2.5,7,7.869397,0.6701559,2,W2
1,WRIST_ARM,GS2,0,7,3.85617,1.041365,0,W2
1,WRIST_ARM,GS2,0,10.5,10.49712,0.7379409,1,W2
1,WRIST_ARM,GS2,0,3.5,2.117807,0.7799061,0,W2
1,WRIST_ARM,GS2,5,3.5,3.647974,2.157891,0,W2
1,WRIST_ARM,GS2,0,10.5,2.932779,2.157891,13,W2
1,WRIST_ARM,GS2,0,10.5,7.049271,0.5898311,1,W2
1,WRIST_ARM,GS2,5,10.5,8.726014,0.6262504,1,W2
1,WRIST_ARM,GS2,0,3.5,3.942061,1.586398,1,W2
1,WRIST_ARM,GS2,2.5,3.5,3.338869,2.088901,0,W2
1,WRIST_ARM,GS2,0,3.5,3.106031,1.461579,1,W2
1,WRIST_ARM,GS2,2.5,10.5,3.12023,0.6947916,0,W2
1,WRIST_ARM,GS2,0,10.5,6.014537,0.6107026,0,W2
1,WRIST_ARM,GS2,2.5,10.5,7.628273,1.071958,0,W2
1,WRIST_ARM,GS2,0,10.5,7.479695,1.043829,2,W2
1,WRIST_ARM,GS2,5,10.5,6.121064,0.9443102,1,W2
1,WRIST_ARM,GS2,0,7,3.637465,1.434823,0,W2
1,WRIST_ARM,GS2,0,10.5,2.670385,1.001344,0,W2
1,WRIST_ARM,GS2,2.5,7,2.101668,0.7929155,1,W2
1,WRIST_ARM,GS2,0,10.5,2.866683,0.8093054,1,W2
1,WRIST_ARM,GS2,5,7,3.662572,1.281548,1,W2
1,WRIST_ARM,GS2,0,3.5,2.393835,1.475234,0,W2
1,WRIST_ARM,GS2,5,3.5,2.897039,1.393187,0,W2
1,WRIST_ARM,GS2,0,3.5,5.804384,1.181642,0,W2
1,WRIST_ARM,GS2,2.5,7,3.843364,1.393981,0,W2
1,WRIST_ARM,GS2,0,7,3.175474,1.268326,0,W2
1,WRIST_ARM,GS2,5,10.5,15.71719,1.001356,1,W2
1,WRIST_ARM,GS2,0,3.5,4.860617,1.154874,0,W2
1,WRIST_ARM,GS2,5,7,8.476547,1.20926,1,W2
1,WRIST_ARM,GS2,0,3.5,3.579065,1.645147,0,W2
1,WRIST_ARM,GS2,2.5,10.5,5.652434,1.002353,1,W2
1,WRIST_ARM,GS2,0,10.5,5.097358,0.7787676,0,W2
1,WRIST_ARM,GS2,2.5,3.5,6.903978,0.8614044,1,W2
1,WRIST_ARM,GS2,0,3.5,5.457755,1.80827,3,W2
1,WRIST_ARM,GS2,0,7,2.435379,0.6685778,1,W2
1,WRIST_ARM,GS2,5,3.5,9.260194,2.981423,0,W2
1,WRIST_ARM,GS2,0,10.5,15.52144,0.9029769,0,W2
1,WRIST_ARM,GS2,0,7,2.493989,0.7647532,0,W2
1,WRIST_ARM,GS2,5,7,3.339763,0.7923405,0,W2
1,WRIST_ARM,GS2,0,7,3.051128,0.9040985,0,W2
1,WRIST_ARM,GS2,5,3.5,6.988132,1.712076,1,W2
1,WRIST_ARM,GS2,0,7,2.22758,0.8753481,0,W2
1,WRIST_ARM,GS2,0,10.5,3.243271,0.7380799,0,W2
1,WRIST_ARM,GS2,0,7,2.590923,0.5290887,0,W2
1,WRIST_ARM,GS2,0,3.5,2.128746,0.6533461,0,W2
1,WRIST_ARM,GS2,2.5,3.5,1.979852,1.087449,0,W2
1,WRIST_ARM,GS2,0,3.5,2.099184,1.277413,0,W2
1,WRIST_ARM,GS2,0,7,5.513897,0.8211043,0,W2
1,WRIST_ARM,GS2,0,7,2.24098,0.7367722,0,W2
1,WRIST_ARM,GS2,2.5,7,2.104045,0.695671,0,W2
1,WRIST_ARM,GS2,0,7,2.074552,0.881182,1,W3
1,WRIST_ARM,GS2,5,10.5,10.38352,0.8636535,2,W3
1,WRIST_ARM,GS2,0,7,2.616194,0.8066095,0,W3
1,WRIST_ARM,GS2,2.5,10.5,2.813881,0.6002362,0,W3
1,WRIST_ARM,GS2,0,3.5,1.309564,0.4511716,0,W3
1,WRIST_ARM,GS2,0,7,5.233299,0.7651991,1,W3
1,WRIST_ARM,GS2,0,7,27.62407,1.044062,5,W3
1,WRIST_ARM,GS2,5,10.5,4.27477,1.501101,0,W3
1,WRIST_ARM,GS2,0,10.5,5.146845,1.546835,0,W3
1,WRIST_ARM,GS2,2.5,10.5,12.55989,1.129989,1,W3
1,WRIST_ARM,GS2,0,7,3.062937,0.906504,1,W3
1,WRIST_ARM,GS2,0,3.5,1.711959,0.7795947,1,W3
1,WRIST_ARM,GS2,5,7,3.165208,1.895892,0,W3
1,WRIST_ARM,GS2,0,7,2.558249,1.053354,0,W3
1,WRIST_ARM,GS2,0,10.5,3.535521,0.8330019,1,W3
1,WRIST_ARM,GS2,0,3.5,1.642577,0.8215054,0,W3
1,WRIST_ARM,GS2,2.5,3.5,2.74348,1.308468,0,W3
1,WRIST_ARM,GS2,0,10.5,5.901754,0.9316048,2,W3
1,WRIST_ARM,GS2,2.5,7,8.174543,0.8071271,3,W3
1,WRIST_ARM,GS2,0,3.5,2.016124,2.016124,0,W3
1,WRIST_ARM,GS2,2.5,7,3.330239,1.699,1,W3
1,WRIST_ARM,GS2,0,3.5,2.211834,0.8899301,0,W3
1,WRIST_ARM,GS2,5,3.5,2.787603,1.576311,0,W3
1,WRIST_ARM,GS2,0,7,2.62822,0.9155318,0,W3
1,WRIST_ARM,GS2,2.5,3.5,2.911417,0.8623221,1,W3
1,WRIST_ARM,GS2,0,3.5,2.336421,1.223437,0,W3
1,WRIST_ARM,GS2,5,10.5,8.717183,0.7517022,0,W3
1,WRIST_ARM,GS2,0,7,3.840618,0.7637061,3,W3
1,WRIST_ARM,GS2,0,7,2.897728,0.6964641,1,W3
