,Timestamp,Participant_id,Technique,Gesture_set,Pointer_type,height,distance,Checkpoint_time,Object_view_time,Total_time,mistake_count,d_from_center,d_from_center_with_spike,combo_index,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,2.157533,0.6368194,33.05143,0,0.4551551,0.4810289,15,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,5,11,2.088734,0.5294005,35.14019,0,0.5010999,8.081596,16,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.840029,2.840029,37.98022,0,0.4580162,0.4580162,17,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,2.297157,0.3380441,40.27738,0,0.4177182,2.256629,18,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,5,5.5,1.65413,0.3205015,41.93151,0,0.5108311,12.28417,19,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.745497,1.295096,44.67703,0,0.5073688,0.4936283,20,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,2.5,11,2.171993,0.6260206,46.84904,0,0.5046565,0.4814271,21,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.088779,1.157028,48.93781,0,0.4378617,0.4609391,22,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,1.990106,0.3381025,50.92793,0,0.4990981,1.115445,23,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,2.5,5.5,1.350906,0.4595781,52.27883,0,0.5025771,8.484606,24,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,2.589179,0.4791273,54.86803,0,0.4269702,1.002813,25,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,5,5.5,2.310798,0.4408271,57.17883,1,0.4703268,0.4703268,26,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,2.003515,0.8776363,59.18232,0,0.436535,0.5739788,27,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,5.5,1.672024,0.2712022,60.85435,0,0.4714433,0.4714433,28,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,0,11,1.975583,0.04399766,62.82995,0,0.5007673,0.5007673,29,,,,,,,,,,
A5,7/27/2022 14:58,1,ARM,GS2,G,5,11,3.204187,1.381852,66.03413,0,0.4850479,0.4850479,30,2.2011348,,,,,,,,,
