,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time_o,checkpoint_time,object_view_time,,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
,1,WRIST_ARM,GS2,G,5,10.5,3.321384,3.321384,0.5980152,,1,0.3435415,0.3435415,0.5031602,0.07209635,328.006,W3,C0,5
,1,WRIST_ARM,GS2,G,0,10.5,2.482116,2.482116,0.7394838,,0,0.3055204,0.3055204,0.4184277,-0.3171519,13.98716,W3,C0,6
,1,WRIST_ARM,GS2,G,0,10.5,3.027862,3.027862,0.6121186,,0,0.3055204,0.3055204,9.967884,-0.1631213,354.8662,W3,C0,7
,1,WRIST_ARM,GS2,G,0,7.5,2.83322,2.83322,0.8050837,,1,0.3055204,0.3055204,0.4429352,-0.210411,353.9221,W3,C0,8
,1,WRIST_ARM,GS2,G,5,7.5,2.057101,2.057101,0.789507,,0,0.3150224,0.3150224,6.930824,-4.903657,328.3275,W3,C0,9
,1,WRIST_ARM,GS2,G,0,7.5,2.260728,2.260728,0.7054027,,0,0.3150224,0.3150224,0.364568,-0.3790007,17.52179,W3,C0,10
,1,WRIST_ARM,GS2,G,5,7.5,2.72214,2.72214,0.887498,,0,0.2671725,13.85666,0.4740293,0.01314402,329.7676,W3,C0,11
,1,WRIST_ARM,GS2,G,0,10.5,6.998422,6.998422,0.4708813,,2,0.2671725,13.85666,0.4418277,-0.2963649,12.2357,W3,C0,12
,1,WRIST_ARM,GS2,G,5,7.5,2.370706,2.370706,0.5412478,,0,0.2671725,13.85666,7.086563,-4.940744,328.5267,W3,C0,13
,1,WRIST_ARM,GS2,G,0,7.5,2.681729,2.681729,0.6840981,,0,0.2527826,0.2527826,6.987032,4.640254,22.80419,W3,C0,14
,1,WRIST_ARM,GS2,G,5,10.5,5.62698,5.62698,0.7481862,,0,0.2527826,0.2527826,0.4354399,0.08638906,330.1031,W3,C0,15
,1,WRIST_ARM,GS2,G,0,7.5,2.897424,2.897424,0.9258573,,0,0.2958338,0.2958338,6.984358,4.672554,19.9734,W3,C0,16
,1,WRIST_ARM,GS2,G,5,10.5,2.50405,2.50405,0.7085118,,0,0.2958338,0.2958338,0.4482839,0.07418013,328.4952,W3,C0,17
,1,WRIST_ARM,GS2,G,0,7.5,2.313252,2.313252,0.8428105,,0,0.2958338,0.2958338,6.998011,4.66672,16.95074,W3,C0,18
,1,WRIST_ARM,GS2,G,0,10.5,2.225026,2.225026,0.4859258,,0,0.3400492,0.3400492,9.977567,-0.09309292,347.4135,W3,C0,19
,1,WRIST_ARM,GS2,G,0,10.5,2.497242,2.497242,0.7890443,,0,0.3001835,4.318082,9.905021,-0.1166043,347.9659,W3,C0,20
,1,WRIST_ARM,GS2,G,5,7.5,5.694836,5.694836,0.6104017,,2,0.3001835,4.318082,6.964033,-4.961318,326.0739,W3,C0,21
