participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,combo_index
1,WRIST_ARM,GS2,G,0,10.5,2.319572,0,0.2227423,0.2227423,0.383599,-0.2672741,5.775262,W3,C1,29
1,WRIST_ARM,GS2,G,5,7.5,2.915396,1,0.2522183,0.2522183,6.97779,-4.989721,324.4373,W3,C1,30
1,WRIST_ARM,GS2,G,0,10.5,2.953796,4,0.2306716,0.2306716,10.18383,0.01949906,326.3258,W3,C1,1
1,WRIST_ARM,GS2,G,5,7.5,3.16751,0,0.2306716,0.2306716,7.066186,-4.950331,302.6475,W3,C1,2
1,WRIST_ARM,GS2,G,0,10.5,2.873745,0,0.4112712,0.4112712,10.1088,4.856925,343.2277,W3,C1,3
1,WRIST_ARM,GS2,G,0,7.5,2.527562,0,0.3382978,3.068295,0.341019,-0.1632454,337.9539,W3,C1,4
1,WRIST_ARM,GS2,G,0,7.5,3.67738,0,0.3425616,0.3425616,7.162329,-0.07774425,328.0142,W3,C1,5
1,WRIST_ARM,GS2,G,0,7.5,2.458966,0,0.3425616,0.3425616,7.076685,-0.206695,344.5133,W3,C1,6
1,WRIST_ARM,GS2,G,5,10.5,9.670933333,0,0.3425616,0.3425616,10.11381,-4.931175,317.3751,W3,C1,7
1,WRIST_ARM,GS2,G,0,10.5,2.179169,0,0.3425616,0.3425616,10.02955,4.723264,359.406,W3,C1,8
1,WRIST_ARM,GS2,G,0,10.5,3.108367,0,0.3425616,0.3425616,0.3872712,-0.1328812,338.0881,W3,C1,9
1,WRIST_ARM,GS2,G,5,10.5,2.647338667,0,0.3425616,0.3425616,10.08461,-4.982939,320.5664,W3,C1,10
1,WRIST_ARM,GS2,G,0,7.5,3.359107,0,0.3425616,0.3425616,7.142977,4.668509,15.11476,W3,C1,11
1,WRIST_ARM,GS2,G,5,7.5,4.749167333,0,0.3698591,0.3698591,7.185701,-5.026293,318.5798,W3,C1,12
1,WRIST_ARM,GS2,G,0,7.5,2.486208,0,0.1913385,0.1913385,0.2807885,-0.2798702,5.463518,W3,C1,13
1,WRIST_ARM,GS2,G,0,7.5,2.041123,0,0.3369144,0.3369144,0.3520868,-0.1909111,345.7148,W3,C1,14
1,WRIST_ARM,GS2,G,0,7.5,2.736122,0,0.3474384,0.3474384,0.3447607,-0.1607701,342.4641,W3,C1,15
1,WRIST_ARM,GS2,G,5,7.5,2.580761,0,0.3618121,0.3618121,7.083731,-4.976955,316.5356,W3,C1,16
1,WRIST_ARM,GS2,G,0,10.5,3.916273,0,0.3128924,0.3128924,10.11633,4.85131,346.9736,W3,C1,17
1,WRIST_ARM,GS2,G,0,10.5,2.582544,0,0.2405911,0.2594836,0.3986747,-0.1374886,336.7965,W3,C1,18
1,WRIST_ARM,GS2,G,5,7.5,2.990808333,0,0.2405911,0.2594836,7.139915,-4.99683,318.3257,W3,C1,19
1,WRIST_ARM,GS2,G,0,7.5,2.524524,0,0.2405911,0.2594836,7.117359,4.714259,4.782994,W3,C1,20
1,WRIST_ARM,GS2,G,5,10.5,5.790332333,1,0.2405911,0.2594836,10.08044,-4.955242,320.2664,W3,C1,21
1,WRIST_ARM,GS2,G,0,10.5,2.800813,1,0.2651287,0.2651287,0.36085,-0.2801697,359.5004,W3,C1,22
1,WRIST_ARM,GS2,G,0,10.5,2.279278,0,0.2651287,0.2651287,10.07466,-0.1544061,343.4079,W3,C1,23
1,WRIST_ARM,GS2,G,0,7.5,2.484632,0,0.2651287,0.2651287,7.117683,-0.2231514,349.5776,W3,C1,24
1,WRIST_ARM,GS2,G,5,7.5,2.931934,0,0.2651287,0.2651287,7.12005,-4.961745,318.5226,W3,C1,25
1,WRIST_ARM,GS2,G,0,7.5,2.108807,0,0.2651287,0.2651287,7.131227,4.711528,8.494577,W3,C1,26
1,WRIST_ARM,GS2,G,5,10.5,3.237941,0,0.2562049,0.2562049,0.3984897,0.07134914,320.7495,W3,C1,27
1,WRIST_ARM,GS2,G,0,10.5,2.941447,0,0.2943406,0.2943406,0.3373177,-0.2605824,354.4638,W3,C1,28
1,WRIST_ARM,GS2,G,0,10.5,2.679554,0,0.3119404,0.3119404,10.01657,-0.1122643,337.5422,W3,C1,29
1,WRIST_ARM,GS2,G,5,10.5,2.338982,1,0.3465788,9.484612,0.4545071,0.008169174,320.38,W3,C1,30
1,WRIST_ARM,GS2,G,0,7.5,3.832962,7,0.2315961,0.2315961,7.105798,-0.2140796,356.4212,W3,C4,1
1,WRIST_ARM,GS2,G,0,7.5,1.483117,0,0.2315961,0.2315961,0.330701,-0.08590138,345.4391,W3,C4,2
1,WRIST_ARM,GS2,G,5,10.5,3.099928,1,0.250201,10.13251,0.4331738,0.03865147,320.8286,W3,C4,3
1,WRIST_ARM,GS2,G,0,10.5,1.857067,0,0.2440124,0.2440124,10.06757,4.774951,1.04257,W3,C4,4
1,WRIST_ARM,GS2,G,5,10.5,2.264753,0,0.2440124,0.2440124,0.4394828,0.0567956,324.3432,W3,C4,5
1,WRIST_ARM,GS2,G,0,10.5,2.259005,0,0.2440124,0.2440124,0.3516974,-0.2458222,3.109529,W3,C4,6
1,WRIST_ARM,GS2,G,5,7.5,1.959226,0,0.2992302,0.2992302,7.036607,-4.970211,326.5729,W3,C4,7
1,WRIST_ARM,GS2,G,0,7.5,2.150643,0,0.2537212,0.2537212,7.078142,4.731158,9.364416,W3,C4,8
1,WRIST_ARM,GS2,G,5,7.5,1.681576,0,0.3034411,0.3034411,7.036233,-4.945957,326.4679,W3,C4,9
1,WRIST_ARM,GS2,G,0,7.5,2.027884,0,0.3208721,0.3208721,0.3079444,-0.3023865,11.85906,W3,C4,10
1,WRIST_ARM,GS2,G,5,10.5,3.512199,1,0.2901112,0.3177378,10.05445,-4.985797,322.1459,W3,C4,11
1,WRIST_ARM,GS2,G,0,10.5,2.441921,0,0.2901112,0.3177378,10.05334,4.799417,354.9075,W3,C4,12
1,WRIST_ARM,GS2,G,5,10.5,3.181199,1,0.2901112,0.3177378,10.06242,-4.98163,326.749,W3,C4,13
1,WRIST_ARM,GS2,G,0,7.5,1.90316,0,0.326601,0.326601,0.304175,-0.2988023,14.1277,W3,C4,14
1,WRIST_ARM,GS2,G,0,7.5,1.400893,0,0.2395767,0.2395767,7.089462,-0.1709981,352.2899,W3,C4,15
1,WRIST_ARM,GS2,G,0,7.5,2.001632,0,0.2395767,0.2395767,0.3800403,-0.1628773,348.3643,W3,C4,16
1,WRIST_ARM,GS2,G,0,7.5,1.400759,0,0.2395767,0.2395767,0.3961636,-0.1898656,354.2841,W3,C4,17
1,WRIST_ARM,GS2,G,5,10.5,4.750086,1,0.2823525,0.2823525,10.1054,-4.969758,324.1559,W3,C4,18
1,WRIST_ARM,GS2,G,0,10.5,3.343253,0,0.3020884,0.3020884,10.03853,4.737898,4.495525,W3,C4,19
1,WRIST_ARM,GS2,G,0,10.5,3.7245,0,0.2622749,2.146073,0.3613558,-0.00198102,324.6579,W3,C4,20
1,WRIST_ARM,GS2,G,0,7.5,3.039738,0,0.268147,0.268147,0.3854281,-0.2194896,353.9717,W3,C4,21
1,WRIST_ARM,GS2,G,0,7.5,2.15251,0,0.3049153,0.3908001,7.071044,-0.1776437,350.4904,W3,C4,22
1,WRIST_ARM,GS2,G,0,10.5,2.30251,0,0.3049153,0.3908001,10.08791,-0.1345161,344.1438,W3,C4,23
1,WRIST_ARM,GS2,G,0,10.5,3.722644,0,0.2872593,0.2872593,10.06272,-0.01757252,328.5031,W3,C4,24
1,WRIST_ARM,GS2,G,0,10.5,2.012313,0,0.2872593,0.2872593,10.09763,-0.1378009,343.2797,W3,C4,25
1,WRIST_ARM,GS2,G,5,7.5,3.072594,0,0.3212437,0.3212437,0.4078533,0.03480721,323.9372,W3,C4,26
1,WRIST_ARM,GS2,G,0,10.5,5.049903,1,0.2945907,0.2945907,10.00125,4.729787,4.696243,W3,C4,27
1,WRIST_ARM,GS2,G,5,7.5,3.487561,1,0.2945907,0.2945907,7.086507,-4.94683,320.6115,W3,C4,28
1,WRIST_ARM,GS2,G,0,10.5,2.302593,0,0.2945907,0.2945907,0.3812296,-0.2844315,3.615135,W3,C4,29
1,WRIST_ARM,GS2,G,5,7.5,2.655524,0,0.3311825,10.34484,0.3666299,0.05919886,320.1071,W3,C4,30
1,WRIST_ARM,GS2,G,0,7.5,2.30191,5,0.3112306,2.821107,7.101987,-0.2313746,352.3852,W3,C4,1
1,WRIST_ARM,GS2,G,0,7.5,1.417363,0,0.3171596,0.2546508,7.130933,-0.1117042,347.1741,W3,C4,2
1,WRIST_ARM,GS2,G,0,10.5,2.23663,0,0.3171596,0.2546508,9.989456,-0.0926646,339.2994,W3,C4,3
1,WRIST_ARM,GS2,G,0,7.5,1.99799,0,0.3171596,0.2546508,7.025217,-0.1280974,345.2517,W3,C4,4
1,WRIST_ARM,GS2,G,0,7.5,1.904135,1,0.3237427,0.354782,0.4050139,-0.220998,354.2127,W3,C4,5
1,WRIST_ARM,GS2,G,5,10.5,6.522528,0,0.3237427,0.354782,10.08903,-4.942535,320.9316,W3,C4,6
1,WRIST_ARM,GS2,G,0,7.5,1.918794,0,0.3607812,0.3607812,7.096571,4.673351,11.29913,W3,C4,7
1,WRIST_ARM,GS2,G,5,10.5,7.120536,2,0.3607812,0.3607812,10.11881,-4.951458,323.3362,W3,C4,8
1,WRIST_ARM,GS2,G,0,7.5,1.986968,0,0.3150184,2.640412,7.024296,4.657628,12.899,W3,C4,9
1,WRIST_ARM,GS2,G,5,7.5,1.733682,0,0.3611288,0.3611288,7.085803,-4.964541,323.7521,W3,C4,10
1,WRIST_ARM,GS2,G,0,7.5,2.460057,0,0.2625805,0.2625805,7.093957,4.656509,10.70157,W3,C4,11
1,WRIST_ARM,GS2,G,0,10.5,2.913056,0,0.2625805,0.2625805,10.10189,-0.1051934,340.6024,W3,C4,12
1,WRIST_ARM,GS2,G,5,7.5,2.985814,0,0.3798779,0.3798779,0.4695019,0.02262926,323.821,W3,C4,13
1,WRIST_ARM,GS2,G,0,7.5,2.694544,0,0.3798779,0.3798779,7.083775,4.759684,6.319273,W3,C4,14
1,WRIST_ARM,GS2,G,0,10.5,2.721783,0,0.3164387,0.3164387,0.4265153,-0.1884111,348.6494,W3,C4,15
1,WRIST_ARM,GS2,G,5,7.5,2.556254,0,0.3164387,0.3164387,7.065279,-4.95817,320.845,W3,C4,16
1,WRIST_ARM,GS2,G,0,10.5,3.315935,0,0.3337627,0.3337627,10.06148,4.767115,357.1681,W3,C4,17
1,WRIST_ARM,GS2,G,0,10.5,4.68045,2,0.2845272,0.2845272,10.08432,-0.04094934,330.4168,W3,C4,18
1,WRIST_ARM,GS2,G,0,10.5,2.110073,0,0.2845272,0.2845272,0.46906,-0.1783227,347.0304,W3,C4,19
1,WRIST_ARM,GS2,G,0,10.5,2.100369,0,0.2882799,0.2882799,0.3870972,-0.09026825,340.9174,W3,C4,20
1,WRIST_ARM,GS2,G,0,10.5,2.038189,0,0.2882799,0.2882799,0.4218631,-0.154247,346.1743,W3,C4,21
1,WRIST_ARM,GS2,G,5,7.5,6.01137,2,0.2990016,0.3296576,7.039696,-4.945182,325.6595,W3,C4,22
1,WRIST_ARM,GS2,G,0,7.5,2.108906,0,0.2617258,2.747656,0.3318779,-0.3466506,14.71655,W3,C4,23
1,WRIST_ARM,GS2,G,5,7.5,4.613775,0,0.3321682,0.3321682,7.078113,-4.935792,317.9738,W3,C4,24
1,WRIST_ARM,GS2,G,0,7.5,2.036836,0,0.2958219,0.2958219,7.084435,4.695845,6.345999,W3,C4,25
1,WRIST_ARM,GS2,G,5,10.5,2.848858,0,0.2887815,0.2887815,0.421445,0.04773378,319.6889,W3,C4,26
1,WRIST_ARM,GS2,G,0,10.5,2.163398,0,0.1998372,0.1998372,10.03925,4.748795,0.6552668,W3,C4,27
1,WRIST_ARM,GS2,G,5,10.5,5.057208,1,0.2994341,9.635769,10.03947,-4.94282,320.5902,W3,C4,28
1,WRIST_ARM,GS2,G,0,10.5,1.870643,0,0.2994341,9.635769,10.01258,4.720897,5.464113,W3,C4,29
1,WRIST_ARM,GS2,G,5,10.5,2.308079,0,0.2830502,0.2830502,0.4491233,0.03894758,325.0686,W3,C4,30
1,WRIST_ARM,GS2,G,0,7.5,2.47629,1,0.3735645,0.3735645,7.186916,-0.09494615,335.463,W3,C3,1
1,WRIST_ARM,GS2,G,0,7.5,2.671344,0,0.258841,0.258841,0.3406446,-0.1411171,345.0036,W3,C3,2
1,WRIST_ARM,GS2,G,0,10.5,1.837505,0,0.258841,0.258841,10.07674,-0.08137023,334.7949,W3,C3,3
1,WRIST_ARM,GS2,G,0,7.5,1.740582,0,0.3206398,0.2481881,7.1148,-0.1914934,347.7802,W3,C3,4
1,WRIST_ARM,GS2,G,5,10.5,1.976488,0,0.2615497,0.3056575,10.06406,-4.951218,320.9823,W3,C3,5
1,WRIST_ARM,GS2,G,0,10.5,5.30779,1,0.3074311,0.3531026,10.03581,4.748465,2.77444,W3,C3,6
1,WRIST_ARM,GS2,G,5,10.5,6.41754,0,0.3074311,0.3531026,0.4387538,0.05668068,320.9963,W3,C3,7
1,WRIST_ARM,GS2,G,0,10.5,2.531162,0,0.2413175,0.2413175,9.989892,4.724156,0.909085,W3,C3,8
1,WRIST_ARM,GS2,G,0,10.5,6.169662,0,0.3790238,0.3790238,9.94639,-0.1836352,347.0654,W3,C3,9
1,WRIST_ARM,GS2,G,5,7.5,3.966953,0,0.2502515,0.3024862,6.958582,-5.100112,326.1992,W3,C3,10
1,WRIST_ARM,GS2,G,0,10.5,3.466206,0,0.2502515,0.3024862,10.05534,4.718384,354.3294,W3,C3,11
1,WRIST_ARM,GS2,G,5,7.5,2.561346,0,0.2502515,0.3024862,7.035482,-5.005407,323.6475,W3,C3,12
1,WRIST_ARM,GS2,G,0,7.5,4.733677,2,0.2502515,0.3024862,7.125244,4.690124,359.5512,W3,C3,13
1,WRIST_ARM,GS2,G,0,10.5,3.328912,2,0.2502515,0.3024862,0.4153567,-0.153447,342.1317,W3,C3,14
1,WRIST_ARM,GS2,G,5,10.5,7.351279,5,0.2502515,0.3024862,10.07161,-5.047362,321.971,W3,C3,15
1,WRIST_ARM,GS2,G,0,7.5,4.900651,1,0.2502515,0.3024862,7.004116,4.664876,4.969359,W3,C3,16
1,WRIST_ARM,GS2,G,0,7.5,5.149662,3,0.2502515,0.3024862,0.2898887,-0.1712841,343.6551,W3,C3,17
1,WRIST_ARM,GS2,G,0,10.5,3.077418,1,0.3999477,0.3999477,9.986881,-0.1914974,352.0388,W3,C3,18
1,WRIST_ARM,GS2,G,5,7.5,1.894878,0,0.3999477,0.3999477,7.019953,-4.963359,325.2115,W3,C3,19
1,WRIST_ARM,GS2,G,0,10.5,2.406159,0,0.33272,0.33272,10.0409,4.751751,0.3349749,W3,C3,20
1,WRIST_ARM,GS2,G,5,7.5,2.773654,1,0.33272,0.33272,6.954459,-4.968743,324.4384,W3,C3,21
1,WRIST_ARM,GS2,G,0,10.5,2.768112,0,0.1881359,0.1881359,10.04613,4.751693,357.7631,W3,C3,22
1,WRIST_ARM,GS2,G,5,10.5,2.076988,0,0.1881359,0.1881359,10.04253,-4.97907,326.1089,W3,C3,23
1,WRIST_ARM,GS2,G,0,7.5,3.102998,1,0.1881359,0.1881359,0.3404225,-0.3400782,16.49988,W3,C3,24
1,WRIST_ARM,GS2,G,0,7.5,1.838829,0,0.2813609,0.2813609,7.09527,-0.150987,350.58,W3,C3,25
1,WRIST_ARM,GS2,G,0,7.5,1.600464,0,0.2813609,0.2813609,0.3964356,-0.1850888,353.0106,W3,C3,26
1,WRIST_ARM,GS2,G,5,10.5,3.216359,0,0.2436534,12.14597,10.04899,-4.961435,327.5918,W3,C3,27
