participant_id,height,distance,checkpoint_time,mistake_count,pointerHand,confirmationType,Tech,targetSize,combo_index
1,0,5.5,1.849084,0,lefthand,lefthand,lefthandlefthand,0.7,23
1,0,11,2.132322,0,lefthand,lefthand,lefthandlefthand,0.9,24
1,5,5.5,1.988392,0,lefthand,lefthand,lefthandlefthand,0.5,25
1,0,11,2.341054,0,lefthand,lefthand,lefthandlefthand,0.5,26
1,0,11,2.099808,0,lefthand,lefthand,lefthandlefthand,0.9,27
1,5,5.5,2.177996,0,lefthand,lefthand,lefthandlefthand,0.5,28
1,0,11,2.457266,1,lefthand,lefthand,lefthandlefthand,0.7,29
1,5,5.5,2.747139,0,lefthand,lefthand,lefthandlefthand,0.7,30
1,0,5.5,2.238391,0,lefthand,lefthand,lefthandlefthand,0.7,31
1,5,11,3.121303,0,lefthand,lefthand,lefthandlefthand,0.5,32
1,0,11,2.267615,0,lefthand,lefthand,lefthandlefthand,0.9,33
1,5,11,2.507252,0,lefthand,lefthand,lefthandlefthand,0.9,34
1,0,5.5,2.05495,0,lefthand,lefthand,lefthandlefthand,0.9,35
1,0,5.5,1.689873,0,lefthand,lefthand,lefthandlefthand,0.9,36
1,0,11,1.975682,0,lefthand,lefthand,lefthandlefthand,0.7,37
1,0,5.5,1.797674,0,lefthand,lefthand,lefthandlefthand,0.7,38
1,5,5.5,1.614069,0,lefthand,lefthand,lefthandlefthand,0.9,39
1,0,11,2.952595,0,lefthand,lefthand,lefthandlefthand,0.7,40
1,5,11,3.811579,0,lefthand,lefthand,lefthandlefthand,0.9,41
1,0,11,3.285194,2,lefthand,righthand,lefthandrighthand,0.9,1
1,0,5.5,2.013465,0,lefthand,righthand,lefthandrighthand,0.7,2
1,5,11,2.296969,0,lefthand,righthand,lefthandrighthand,0.7,3
1,0,5.5,1.938827,0,lefthand,righthand,lefthandrighthand,0.7,4
1,5,11,2.880468,0,lefthand,righthand,lefthandrighthand,0.9,5
1,0,5.5,1.893802,0,lefthand,righthand,lefthandrighthand,0.5,6
1,5,5.5,2.002611,0,lefthand,righthand,lefthandrighthand,0.9,7
1,0,5.5,1.744054,0,lefthand,righthand,lefthandrighthand,0.7,8
1,0,5.5,1.961421,0,lefthand,righthand,lefthandrighthand,0.9,9
1,0,5.5,1.422151,0,lefthand,righthand,lefthandrighthand,0.9,10
1,5,11,2.796384,0,lefthand,righthand,lefthandrighthand,0.5,11
1,0,11,1.935793,1,lefthand,righthand,lefthandrighthand,0.9,12
1,0,5.5,1.267478,0,lefthand,righthand,lefthandrighthand,0.9,13
1,5,5.5,2.03584,0,lefthand,righthand,lefthandrighthand,0.5,14
1,0,11,2.164794,1,lefthand,righthand,lefthandrighthand,0.7,15
1,5,11,3.106295,0,lefthand,righthand,lefthandrighthand,0.5,16
1,0,11,2.212225,0,lefthand,righthand,lefthandrighthand,0.9,17
1,5,5.5,3.500322,0,lefthand,righthand,lefthandrighthand,0.9,18
1,0,11,2.919188,0,lefthand,righthand,lefthandrighthand,0.5,19
1,5,5.5,1.86972,0,lefthand,righthand,lefthandrighthand,0.7,20
1,0,11,2.308727,0,lefthand,righthand,lefthandrighthand,0.7,21
1,0,11,2.118755,0,lefthand,righthand,lefthandrighthand,0.5,22
1,5,11,2.879794,0,lefthand,righthand,lefthandrighthand,0.7,23
1,0,11,2.396338,0,lefthand,righthand,lefthandrighthand,0.9,24
1,5,11,4.676362,0,lefthand,righthand,lefthandrighthand,0.9,25
1,0,5.5,1.65865,0,lefthand,righthand,lefthandrighthand,0.7,26
1,5,11,2.449001,2,lefthand,righthand,lefthandrighthand,0.7,27
1,0,5.5,6.516881,0,lefthand,righthand,lefthandrighthand,0.5,28
1,0,5.5,1.780711,0,lefthand,righthand,lefthandrighthand,0.7,29
1,5,5.5,1.782866,1,lefthand,righthand,lefthandrighthand,0.7,30
1,0,5.5,1.891842,1,lefthand,righthand,lefthandrighthand,0.9,31
1,0,11,2.671786,1,lefthand,righthand,lefthandrighthand,0.9,32
1,0,11,1.75325,0,lefthand,righthand,lefthandrighthand,0.7,33
1,5,5.5,1.062178,0,lefthand,righthand,lefthandrighthand,0.7,34
1,0,5.5,2.572421,0,lefthand,righthand,lefthandrighthand,0.5,35
1,0,11,1.827682,0,lefthand,righthand,lefthandrighthand,0.5,36
1,5,5.5,10.47983,1,lefthand,righthand,lefthandrighthand,0.9,37
