timestamp,participant_id,technique,gesture_set,pointer_type,height,distance,checkpoint_time,object_view_time,total_time,mistake_count,d_from_center,d_from_center_with_spike,arm_distance,arm_height,wrist_angle,personalization_type,curveCombo,pointerHand,confirmationType,targetSize,combo_index
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,11,2.520635,0.5131288,65.39926,0,0.2989624,0.3469994,10.01577,4.739133,354.619,W2,C3,righthand,righthand,0.5,18
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,11,2.170476,0.3622433,67.56975,0,0.2738777,11.95465,10.47443,-4.892175,317.5183,W2,C3,righthand,righthand,0.5,19
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,11,3.845859,0.4452231,71.41565,0,0.5233113,0.5253195,0.370447,-0.1553589,347.272,W2,C3,righthand,righthand,0.9,20
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,11,2.295432,0.3744194,73.71107,0,0.5238022,0.505769,10.49408,-4.921103,318.3219,W2,C3,righthand,righthand,0.9,21
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,1.880609,0.8916235,75.59164,0,0.4157398,0.4162087,4.971045,4.655513,13.76171,W2,C3,righthand,righthand,0.7,22
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,1.445196,0.4591088,77.03683,0,0.3385613,0.3431497,5.027272,-0.2027143,359.0943,W2,C3,righthand,righthand,0.7,23
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,11,1.70247,0.307243,78.73927,0,0.3385613,0.3431497,0.4804687,0.1515279,315.1728,W2,C3,righthand,righthand,0.5,24
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,2.181633,0.7067282,80.92092,0,0.3021154,0.3126428,0.3450818,-0.3843871,28.84729,W2,C3,righthand,righthand,0.5,25
2/9/2023 13:45,99,WRIST_ARM,GS2,G,5,5.5,2.426957,0.7975422,83.34789,0,0.3021154,0.3126428,5.140512,-4.906988,314.2353,W2,C3,righthand,righthand,0.5,26
2/9/2023 13:45,99,WRIST_ARM,GS2,G,0,5.5,2.307678,0.9851841,85.65556,0,0.3021154,0.3126428,5.555744,4.656861,23.46412,W2,C3,righthand,righthand,0.7,27
2/9/2023 13:46,99,WRIST_ARM,GS2,G,0,11,4.013102,0.4058878,89.66865,0,0.3021154,0.3126428,10.33533,-0.004819393,335.3932,W2,C3,righthand,righthand,0.5,28
2/9/2023 13:46,99,WRIST_ARM,GS2,G,5,5.5,2.267518,0.8896189,91.93617,0,0.3021154,0.3126428,5.811602,-4.920256,316.3145,W2,C3,righthand,righthand,0.9,29
2/9/2023 13:46,99,WRIST_ARM,GS2,G,0,11,5.792968,0.7239711,97.72906,0,0.3584196,0.3666553,10.36853,4.867071,332.7375,W2,C3,righthand,righthand,0.7,30
